reporte_centrales_riesgo,monto_reporte_central_riesgo,tiempo_mora_reporte_riesgo,id_riesgo
Sí,189620.0,30 días,1
Sí,170826.0,30 días,2
Sí,642458.0,60 días,3
No,,sin_mora,4
Sí,593757.0,90 días,5
Sí,149139.0,60 días,6
Sí,274005.0,120 días,7
Sí,362811.0,30 días,8
Sí,161629.0,90 días,9
Sí,31737.0,30 días,10
Sí,227424.0,120 días,11
Sí,333319.0,60 días,12
Sí,749969.0,120 días,13
Sí,830945.0,30 días,14
Sí,33868.0,90 días,15
Sí,265484.0,60 días,16
Sí,755593.0,90 días,17
Sí,512545.0,90 días,18
Sí,700556.0,90 días,19
Sí,743862.0,120 días,20
Sí,665630.0,30 días,21
Sí,585742.0,120 días,22
Sí,113259.0,30 días,23
Sí,227789.0,90 días,24
Sí,739079.0,90 días,25
Sí,93961.0,120 días,26
Sí,116653.0,120 días,27
Sí,561379.0,30 días,28
Sí,231765.0,120 días,29
Sí,638351.0,120 días,30
Sí,295407.0,90 días,31
Sí,886760.0,90 días,32
Sí,188237.0,90 días,33
Sí,566792.0,60 días,34
Sí,661747.0,60 días,35
Sí,710739.0,30 días,36
Sí,988520.0,90 días,37
Sí,190706.0,90 días,38
Sí,270268.0,60 días,39
Sí,903862.0,60 días,40
Sí,540266.0,120 días,41
Sí,282763.0,60 días,42
Sí,546643.0,30 días,43
Sí,406309.0,60 días,44
Sí,966961.0,60 días,45
Sí,663503.0,60 días,46
Sí,899798.0,90 días,47
Sí,955357.0,120 días,48
Sí,35626.0,60 días,49
Sí,181272.0,30 días,50
Sí,91870.0,90 días,51
Sí,323500.0,30 días,52
Sí,860255.0,60 días,53
Sí,277728.0,30 días,54
Sí,236388.0,120 días,55
Sí,399363.0,120 días,56
Sí,38936.0,120 días,57
Sí,508170.0,90 días,58
Sí,213389.0,120 días,59
Sí,519520.0,30 días,60
Sí,433789.0,120 días,61
Sí,430056.0,90 días,62
Sí,215756.0,120 días,63
Sí,520059.0,60 días,64
Sí,46071.0,90 días,65
Sí,456271.0,120 días,66
Sí,398974.0,60 días,67
Sí,336514.0,60 días,68
Sí,630173.0,120 días,69
Sí,543638.0,60 días,70
Sí,459534.0,120 días,71
Sí,591967.0,60 días,72
Sí,506146.0,60 días,73
Sí,827160.0,90 días,74
Sí,33386.0,120 días,75
Sí,52894.0,30 días,76
Sí,632378.0,60 días,77
Sí,692990.0,60 días,78
Sí,575579.0,60 días,79
Sí,127165.0,120 días,80
Sí,595895.0,30 días,81
Sí,697398.0,60 días,82
Sí,908357.0,60 días,83
Sí,972386.0,30 días,84
Sí,580097.0,30 días,85
Sí,176064.0,30 días,86
Sí,369279.0,30 días,87
Sí,271586.0,60 días,88
Sí,625702.0,30 días,89
Sí,343482.0,120 días,90
Sí,278654.0,30 días,91
Sí,578714.0,60 días,92
Sí,437924.0,30 días,93
Sí,690284.0,90 días,94
Sí,629062.0,30 días,95
Sí,898998.0,30 días,96
Sí,106498.0,120 días,97
Sí,498036.0,120 días,98
Sí,31718.0,60 días,99
Sí,976362.0,60 días,100
Sí,807949.0,60 días,101
Sí,371990.0,120 días,102
Sí,107115.0,90 días,103
Sí,428233.0,60 días,104
Sí,157637.0,30 días,105
Sí,793843.0,120 días,106
Sí,520089.0,120 días,107
Sí,455169.0,60 días,108
Sí,657375.0,90 días,109
Sí,70831.0,120 días,110
Sí,741833.0,30 días,111
